Metropolitan Area,City,STATE,Metro / Micro,Customers (State Level),Gross Sales (State Level),Total households,Owner-occupied housing units with a mortgage,"VALUE!!$1,000,000 or more",% Houses >$1m,VALUE!!Median (dollars)
"Danville, IL Micro Area",Danville,IL,Micro,0,0,30084,8744,9,0.001029277,120200
"Ponce, PR Metro Area",Ponce,PR,Metro,2,4925,106387,21476,22,0.001024399,136000
"Duncan, OK Micro Area",Duncan,OK,Micro,0,0,17567,5949,6,0.001008573,161600
"Bishop, CA Micro Area",Bishop,CA,Micro,0,0,8040,2080,2,0.000961538,451500
"Wahpeton, ND-MN Micro Area",Wahpeton,ND-MN,Micro,0,0,9504,3293,3,0.000911023,195300
"Arecibo, PR Metro Area",Arecibo,PR,Metro,0,0,67958,14571,13,0.000892183,132600
"Tahlequah, OK Micro Area",Tahlequah,OK,Micro,0,0,18698,5642,5,0.000886211,183200
"Rock Springs, WY Micro Area",Rock Springs,WY,Micro,0,0,17502,6900,6,0.000869565,293200
"Weatherford, OK Micro Area",Weatherford,OK,Micro,3,9021,15175,4625,4,0.000864865,182800
"Wisconsin Rapids-Marshfield, WI Micro Area",Wisconsin Rapids-Marshfield,WI,Micro,1,375,32253,12750,11,0.000862745,185200
"Alexandria, LA Metro Area",Alexandria,LA,Metro,4,3425,56394,18612,15,0.000805932,212900
"Oskaloosa, IA Micro Area",Oskaloosa,IA,Micro,2,4925,8743,3063,2,0.000652955,167700
"Marietta, OH Micro Area",Marietta,OH,Micro,0,0,24779,9543,6,0.000628733,192500
"Crawfordsville, IN Micro Area",Crawfordsville,IN,Micro,0,0,15602,8074,5,0.000619272,179200
"Laurel, MS Micro Area",Laurel,MS,Micro,3,12150,31604,8835,5,0.000565931,175300
"Martin, TN Micro Area",Martin,TN,Micro,0,0,13384,4514,2,0.000443066,164400
"Salina, KS Micro Area",Salina,KS,Micro,3,9021,24931,9229,4,0.000433416,180800
"DeRidder, LA Micro Area",DeRidder,LA,Micro,0,0,13747,4798,1,0.00020842,198700
"Guayama, PR Metro Area",Guayama,PR,Metro,3,2610,28965,6605,0,0,144800
"Bucyrus, OH Micro Area",Bucyrus,OH,Micro,2,4925,18059,7218,0,0,193800
"Dodge City, KS Micro Area",Dodge City,KS,Micro,0,0,11796,3214,0,0,209100
